subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
wos:EW	Computer Science, Software Engineering	skos:broadMatch	oecd:31048406	Software engineering, operating systems, computer languages	semapv:ManualMappingCuration
wos:ES	Computer Science, Hardware & Architecture	skos:broadMatch	oecd:31049144	Computer hardware and architecture	semapv:ManualMappingCuration
wos:EX	Computer Science, Theory & Methods	skos:broadMatch	oecd:31048407	Theoretical computer science, formal methods, quantum computing	semapv:ManualMappingCuration
wos:FA	Construction & Building Technology	skos:broadMatch	oecd:31049063	Construction engineering, Municipal and structural engineering	semapv:ManualMappingCuration
wos:FE	Criminology & Penology	skos:broadMatch	oecd:31051025	Law, criminology, penology	semapv:ManualMappingCuration
wos:DS	Critical Care Medicine	skos:broadMatch	oecd:31050412	Critical care medicine and Emergency medicine	semapv:ManualMappingCuration
wos:FI	Crystallography	skos:broadMatch	oecd:31048611	Crystallography and X-ray diffraction	semapv:ManualMappingCuration
wos:EN	Cultural Studies	skos:broadMatch	oecd:31051101	Cultural studies, cultural diversity	semapv:ManualMappingCuration
wos:FS	Dance	skos:broadMatch	oecd:31051201	Performing arts studies (Musicology, Theater science, Dramaturgy)	semapv:ManualMappingCuration
wos:FU	Demography	skos:exactMatch	oecd:31051009	Demography	semapv:ManualMappingCuration
wos:FY	Dentistry, Oral Surgery & Medicine	skos:exactMatch	oecd:31050438	Dentistry, oral surgery and medicine	semapv:ManualMappingCuration
wos:GA	Dermatology	skos:broadMatch	oecd:31050443	Dermatology and venereal diseases	semapv:ManualMappingCuration
wos:HY	Developmental Biology	skos:exactMatch	oecd:31048887	Developmental biology	semapv:ManualMappingCuration
wos:GU	Ecology	skos:exactMatch	oecd:31048971	Ecology	semapv:ManualMappingCuration
wos:GY	Economics	skos:broadMatch	oecd:31050946	Economics, Econometrics	semapv:ManualMappingCuration
wos:HA	Education & Educational Research	skos:broadMatch	oecd:31050983	Educational sciences	semapv:ManualMappingCuration
wos:HB	Education, Scientific Disciplines	skos:broadMatch	oecd:31051056	Science education	semapv:ManualMappingCuration
wos:HE	Education, Special	skos:broadMatch	oecd:31050999	Education, special (to gifted persons, those with learning disabilities)	semapv:ManualMappingCuration
wos:HQ	Electrochemistry	skos:broadMatch	oecd:31048578	Electrochemistry, electrodialysis, microfluidics, sensors	semapv:ManualMappingCuration
wos:FF	Emergency Medicine	skos:exactMatch	oecd:31050413	Emergency medicine	semapv:ManualMappingCuration
wos:IA	Endocrinology & Metabolism	skos:broadMatch	oecd:31050447	Endocrinology and metabolism (including diabetes, hormones)	semapv:ManualMappingCuration
wos:ID	Energy & Fuels	skos:broadMatch	oecd:31053953	Environmental engineering	semapv:ManualMappingCuration
wos:IG	Engineering, Biomedical	skos:broadMatch	oecd:31049202	Medical engineering, biomedical engineering and technology	semapv:ManualMappingCuration
wos:II	Engineering, Chemical	skos:exactMatch	oecd:31049178	Chemical engineering	semapv:ManualMappingCuration
wos:IQ	Engineering, Electrical & Electronic	skos:exactMatch	oecd:31049118	Electrical and electronic engineering	semapv:ManualMappingCuration
wos:IH	Engineering, Environmental	skos:exactMatch	oecd:31053953	Environmental engineering	semapv:ManualMappingCuration
wos:IF	Engineering, Multidisciplinary	skos:broadMatch	oecd:31049441	Other engineering and technologies	semapv:ManualMappingCuration
wos:AI	Engineering, Aerospace	skos:exactMatch	oecd:31049175	Aerospace engineering	semapv:ManualMappingCuration
wos:IM	Engineering, Civil	skos:exactMatch	oecd:31049044	Civil engineering	semapv:ManualMappingCuration
wos:IH	Engineering, Environmental	skos:broadMatch	oecd:31049213	Environmental and geological engineering, geotechnics	semapv:ManualMappingCuration
wos:IX	Engineering, Geological	skos:broadMatch	oecd:31049213	Environmental and geological engineering, geotechnics	semapv:ManualMappingCuration
wos:IJ	Engineering, Industrial	skos:broadMatch	oecd:31049441	Other engineering and technologies	semapv:ManualMappingCuration
wos:IK	Engineering, Manufacturing	skos:broadMatch	oecd:31049148	Mechanical and manufacturing engineering (shaping, mounting, joining, separation)	semapv:ManualMappingCuration
wos:IL	Engineering, Marine	skos:exactMatch	oecd:31049401	Marine engineering	semapv:ManualMappingCuration
wos:IU	Engineering, Mechanical	skos:exactMatch	oecd:31049147	Mechanical engineering	semapv:ManualMappingCuration
wos:IO	Engineering, Ocean	skos:exactMatch	oecd:31049151	Ocean engineering	semapv:ManualMappingCuration
wos:IP	Engineering, Petroleum	skos:broadMatch	oecd:31049218	Energy, fuels and petroleum engineering	semapv:ManualMappingCuration
wos:IY	Entomology	skos:exactMatch	oecd:31048942	Entomology	semapv:ManualMappingCuration
wos:JA	Environmental Sciences	skos:exactMatch	oecd:31048669	Environmental sciences	semapv:ManualMappingCuration
wos:JB	Environmental Studies	skos:broadMatch	oecd:31048669	Environmental sciences	semapv:ManualMappingCuration
wos:JI	Ergonomics	skos:broadMatch	oecd:31050128	Ergonomic and Human factors	semapv:ManualMappingCuration
wos:HF	Ethics	skos:broadMatch	oecd:31051186	Ethics (except ethics related to specific subfields)	semapv:ManualMappingCuration
wos:JM	Ethnic Studies	skos:broadMatch	oecd:31051012	Ethnography	semapv:ManualMappingCuration
wos:HT	Evolutionary Biology	skos:exactMatch	oecd:31049014	Evolutionary biology	semapv:ManualMappingCuration
wos:JO	Family Studies	skos:broadMatch	oecd:31051023	Family studies, Social work	semapv:ManualMappingCuration
wos:JS	Film, Radio, Television	skos:broadMatch	oecd:31051204	Studies on Film, Radio and Television	semapv:ManualMappingCuration
wos:JU	Fisheries	skos:broadMatch	oecd:31048692	Aquaculture, fisheries	semapv:ManualMappingCuration
wos:JW	Folklore	skos:broadMatch	oecd:31051203	Folklore studies	semapv:ManualMappingCuration
wos:JY	Food Science & Technology	skos:broadMatch	oecd:31049443	Food sciences	semapv:ManualMappingCuration
wos:KA	Forestry	skos:exactMatch	oecd:31049346	Forestry	semapv:ManualMappingCuration
wos:KI	Gastroenterology & Hepatology	skos:exactMatch	oecd:31050466	Gastroenterology and hepatology	semapv:ManualMappingCuration
